date,AMZN,AAPL
2021-05-20 16:05:00-04:00,,
2021-05-21 16:05:00-04:00,-1.0,24.0
2021-05-24 16:05:00-04:00,,
2021-05-25 16:05:00-04:00,,
2021-05-26 16:05:00-04:00,,
2021-05-27 16:05:00-04:00,,
2021-05-28 16:05:00-04:00,,
2021-06-01 16:05:00-04:00,,
2021-06-02 16:05:00-04:00,,
2021-06-03 16:05:00-04:00,,
2021-06-04 16:05:00-04:00,,
2021-06-07 16:05:00-04:00,,
2021-06-08 16:05:00-04:00,,
2021-06-09 16:05:00-04:00,,
2021-06-10 16:05:00-04:00,,
2021-06-11 16:05:00-04:00,,
2021-06-14 16:05:00-04:00,,
2021-06-15 16:05:00-04:00,,
2021-06-16 16:05:00-04:00,,
2021-06-17 16:05:00-04:00,,
2021-06-21 16:05:00-04:00,,
2021-06-22 16:05:00-04:00,,
2021-06-23 16:05:00-04:00,,
2021-06-24 16:05:00-04:00,,
2021-06-25 16:05:00-04:00,,
2021-06-28 16:05:00-04:00,,
2021-06-29 16:05:00-04:00,,
2021-06-30 16:05:00-04:00,,
2021-07-01 16:05:00-04:00,,
2021-07-02 16:05:00-04:00,,
2021-07-06 16:05:00-04:00,,
2021-07-07 16:05:00-04:00,,
2021-07-08 16:05:00-04:00,,
2021-07-09 16:05:00-04:00,,
2021-07-12 16:05:00-04:00,,
2021-07-13 16:05:00-04:00,,
2021-07-14 16:05:00-04:00,,
2021-07-15 16:05:00-04:00,,
2021-07-16 16:05:00-04:00,,
2021-07-19 16:05:00-04:00,,
2021-07-20 16:05:00-04:00,,
2021-07-21 16:05:00-04:00,,
2021-07-22 16:05:00-04:00,,
2021-07-23 16:05:00-04:00,,
2021-07-26 16:05:00-04:00,,
2021-07-27 16:05:00-04:00,,
2021-07-28 16:05:00-04:00,,
2021-07-29 16:05:00-04:00,,
2021-07-30 16:05:00-04:00,,
2021-08-02 16:05:00-04:00,,
2021-08-03 16:05:00-04:00,,
2021-08-04 16:05:00-04:00,,
2021-08-05 16:05:00-04:00,,
2021-08-06 16:05:00-04:00,,
2021-08-09 16:05:00-04:00,,
2021-08-10 16:05:00-04:00,,
2021-08-11 16:05:00-04:00,,
2021-08-12 16:05:00-04:00,,
2021-08-13 16:05:00-04:00,,
2021-08-16 16:05:00-04:00,-1.0,20.0
2021-08-17 16:05:00-04:00,,
2021-08-18 16:05:00-04:00,,
2021-08-19 16:05:00-04:00,,
2021-08-20 16:05:00-04:00,,
2021-08-23 16:05:00-04:00,,
2021-08-24 16:05:00-04:00,1.0,-20.0
2021-08-25 16:05:00-04:00,,
2021-08-26 16:05:00-04:00,-1.0,20.0
2021-08-27 16:05:00-04:00,,
2021-08-30 16:05:00-04:00,,
2021-08-31 16:05:00-04:00,,
2021-09-01 16:05:00-04:00,,
2021-09-02 16:05:00-04:00,,
2021-09-03 16:05:00-04:00,,
2021-09-07 16:05:00-04:00,,
2021-09-08 16:05:00-04:00,,
2021-09-09 16:05:00-04:00,,
2021-09-10 16:05:00-04:00,,
