"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"43";"USDJPY_M1";"Sell";"2013.12.08 22:00:00";"103.014";"0.10000";"2013.12.09 23:00:00";"103.364";"-35.00";"9847.80";"IST";"SL";"-35.00";"10.50";"1d 1h 0m";""
"44";"USDJPY_M1";"Sell";"2013.12.10 01:00:00";"103.282";"0.10000";"2013.12.12 22:00:00";"103.632";"-35.00";"9812.80";"IST";"SL";"-35.00";"110.90";"2d 21h 0m";""
"45";"USDJPY_M1";"Sell";"2013.12.13 04:00:00";"103.752";"0.10000";"2013.12.13 21:00:00";"103.243";"50.90";"9863.70";"IST";"End Of Friday (Time)";"-18.70";"74.10";"17h 0m";""
"46";"USDJPY_M1";"Buy";"2013.12.16 09:00:00";"103.126";"0.10000";"2013.12.17 15:00:00";"102.776";"-35.00";"9828.70";"IST";"SL";"-35.00";"1.80";"1d 6h 0m";""
"47";"USDJPY_M1";"Buy";"2013.12.17 23:00:00";"102.592";"0.10000";"2013.12.20 00:00:00";"104.392";"180.00";"10008.70";"IST";"PT";"0.00";"180.00";"2d 1h 0m";""
"48";"USDJPY_M1";"Sell";"2013.12.20 08:00:00";"104.422";"0.10000";"2013.12.20 21:00:00";"104.082";"34.00";"10042.70";"IST";"End Of Friday (Time)";"-23.20";"54.40";"13h 0m";""
"49";"USDJPY_M1";"Buy";"2013.12.23 01:00:00";"104.083";"0.10000";"2013.12.27 21:00:00";"105.179";"109.60";"10152.30";"IST";"End Of Friday (Time)";"-31.30";"109.80";"4d 20h 0m";""
"50";"USDJPY_M1";"Sell";"2013.12.30 00:00:00";"105.302";"0.10000";"2014.01.03 21:00:00";"104.797";"50.50";"10202.80";"IST";"End Of Friday (Time)";"-15.90";"120.80";"4d 21h 0m";""
"51";"USDJPY_M1";"Buy";"2014.01.05 22:00:00";"104.848";"0.10000";"2014.01.06 01:00:00";"104.498";"-35.00";"10167.80";"IST";"SL";"-35.00";"10.10";"3h 0m";""
"52";"USDJPY_M1";"Sell";"2014.01.06 03:00:00";"104.311";"0.10000";"2014.01.06 08:00:00";"104.661";"-35.00";"10132.80";"IST";"SL";"-35.00";"5.90";"5h 0m";""
"53";"USDJPY_M1";"Buy";"2014.01.06 10:00:00";"104.576";"0.10000";"2014.01.06 17:00:00";"104.226";"-35.00";"10097.80";"IST";"SL";"-35.00";"26.30";"7h 0m";""
"54";"USDJPY_M1";"Sell";"2014.01.06 18:00:00";"104.041";"0.10000";"2014.01.07 00:00:00";"104.391";"-35.00";"10062.80";"IST";"SL";"-35.00";"5.90";"6h 0m";""
"55";"USDJPY_M1";"Buy";"2014.01.07 03:00:00";"104.339";"0.10000";"2014.01.10 15:00:00";"103.989";"-35.00";"10027.80";"IST";"SL";"-35.00";"99.60";"3d 12h 0m";""
"56";"USDJPY_M1";"Sell";"2014.01.10 16:00:00";"104.146";"0.10000";"2014.01.10 21:00:00";"104.092";"5.40";"10033.20";"IST";"End Of Friday (Time)";"-3.10";"18.00";"5h 0m";""
"57";"USDJPY_M1";"Buy";"2014.01.12 23:00:00";"104.097";"0.10000";"2014.01.13 01:00:00";"103.747";"-35.00";"9998.20";"IST";"SL";"-35.00";"2.20";"2h 0m";""
"58";"USDJPY_M1";"Buy";"2014.01.13 03:00:00";"103.459";"0.10000";"2014.01.13 14:00:00";"103.109";"-35.00";"9963.20";"IST";"SL";"-35.00";"11.00";"11h 0m";""
"59";"USDJPY_M1";"Buy";"2014.01.13 15:00:00";"103.256";"0.10000";"2014.01.13 18:00:00";"102.906";"-35.00";"9928.20";"IST";"SL";"-35.00";"12.90";"3h 0m";""
"60";"USDJPY_M1";"Buy";"2014.01.13 19:00:00";"102.962";"0.10000";"2014.01.16 00:00:00";"104.762";"180.00";"10108.20";"IST";"PT";"-10.70";"180.00";"2d 5h 0m";""
"61";"USDJPY_M1";"Sell";"2014.01.16 02:00:00";"104.755";"0.10000";"2014.01.17 21:00:00";"104.299";"45.60";"10153.80";"IST";"End Of Friday (Time)";"-18.50";"58.90";"1d 19h 0m";""
"62";"USDJPY_M1";"Buy";"2014.01.20 07:00:00";"104.134";"0.10000";"2014.01.23 13:00:00";"103.784";"-35.00";"10118.80";"IST";"SL";"-35.00";"70.70";"3d 6h 0m";""
"63";"USDJPY_M1";"Buy";"2014.01.24 00:00:00";"103.404";"0.10000";"2014.01.24 08:00:00";"103.054";"-35.00";"10083.80";"IST";"SL";"-35.00";"17.90";"8h 0m";""
"64";"USDJPY_M1";"Buy";"2014.01.24 09:00:00";"103.047";"0.10000";"2014.01.24 10:00:00";"102.697";"-35.00";"10048.80";"IST";"SL";"-35.00";"3.30";"1h 0m";""
"65";"USDJPY_M1";"Buy";"2014.01.24 16:00:00";"102.375";"0.10000";"2014.01.24 21:00:00";"102.248";"-12.70";"10036.10";"IST";"End Of Friday (Time)";"-18.90";"12.30";"5h 0m";""
"66";"USDJPY_M1";"Buy";"2014.01.26 22:00:00";"102.244";"0.10000";"2014.01.26 22:00:00";"101.894";"-35.00";"10001.10";"IST";"SL";"-35.00";"0.00";"0s";""
"67";"USDJPY_M1";"Buy";"2014.01.26 23:00:00";"102.055";"0.10000";"2014.01.31 21:00:00";"102.161";"10.60";"10011.70";"IST";"End Of Friday (Time)";"-21.20";"138.70";"4d 22h 0m";""
"68";"USDJPY_M1";"Buy";"2014.02.02 22:00:00";"102.018";"0.10000";"2014.02.03 15:00:00";"101.668";"-35.00";"9976.70";"IST";"SL";"-35.00";"39.10";"17h 0m";""
"69";"USDJPY_M1";"Buy";"2014.02.04 00:00:00";"101.201";"0.10000";"2014.02.04 06:00:00";"100.851";"-35.00";"9941.70";"IST";"SL";"-35.00";"17.70";"6h 0m";""
"70";"USDJPY_M1";"Buy";"2014.02.04 07:00:00";"101.043";"0.10000";"2014.02.07 21:00:00";"102.264";"122.10";"10063.80";"IST";"End Of Friday (Time)";"-24.20";"153.60";"3d 14h 0m";""
"71";"USDJPY_M1";"Sell";"2014.02.09 22:00:00";"102.531";"0.10000";"2014.02.14 21:00:00";"101.822";"70.90";"10134.70";"IST";"End Of Friday (Time)";"-18.90";"94.30";"4d 23h 0m";""
"72";"USDJPY_M1";"Buy";"2014.02.17 04:00:00";"101.674";"0.10000";"2014.02.21 21:00:00";"102.559";"88.50";"10223.20";"IST";"End Of Friday (Time)";"-14.60";"115.30";"4d 17h 0m";""
"73";"USDJPY_M1";"Sell";"2014.02.23 22:00:00";"102.471";"0.10000";"2014.02.28 21:00:00";"101.796";"67.50";"10290.70";"IST";"End Of Friday (Time)";"-22.90";"89.90";"4d 23h 0m";""
"74";"USDJPY_M1";"Buy";"2014.03.03 05:00:00";"101.442";"0.10000";"2014.03.07 13:00:00";"103.242";"180.00";"10470.70";"IST";"PT";"-24.20";"180.00";"4d 8h 0m";""
"75";"USDJPY_M1";"Buy";"2014.03.07 16:00:00";"103.339";"0.10000";"2014.03.07 21:00:00";"103.305";"-3.40";"10467.30";"IST";"End Of Friday (Time)";"-12.40";"7.60";"5h 0m";""
"76";"USDJPY_M1";"Sell";"2014.03.09 22:00:00";"103.132";"0.10000";"2014.03.14 12:00:00";"101.332";"180.00";"10647.30";"IST";"PT";"-31.50";"180.00";"4d 14h 0m";""
"77";"USDJPY_M1";"Buy";"2014.03.14 18:00:00";"101.409";"0.10000";"2014.03.16 21:00:00";"101.267";"-14.20";"10633.10";"IST";"End Of Friday";"-14.20";"0.80";"2d 3h 0m";""
"78";"USDJPY_M1";"Buy";"2014.03.16 22:00:00";"101.415";"0.10000";"2014.03.23 21:00:00";"102.140";"72.50";"10705.60";"IST";"End Of Friday";"-13.80";"126.70";"6d 23h 0m";""
"79";"USDJPY_M1";"Buy";"2014.03.23 23:00:00";"102.240";"0.10000";"2014.03.26 20:00:00";"101.890";"-35.00";"10670.60";"IST";"SL";"-35.00";"40.70";"2d 21h 0m";""
"80";"USDJPY_M1";"Buy";"2014.03.27 00:00:00";"101.937";"0.10000";"2014.03.30 21:00:00";"102.928";"99.10";"10769.70";"IST";"End Of Friday";"-21.80";"104.20";"3d 21h 0m";""
"81";"USDJPY_M1";"Sell";"2014.03.30 21:00:00";"102.928";"0.10000";"2014.03.31 09:00:00";"103.278";"-35.00";"10734.70";"IST";"SL";"-35.00";"11.40";"12h 0m";""
"82";"USDJPY_M1";"Sell";"2014.03.31 16:00:00";"102.984";"0.10000";"2014.04.01 01:00:00";"103.334";"-35.00";"10699.70";"IST";"SL";"-35.00";"0.00";"9h 0m";""
"83";"USDJPY_M1";"Sell";"2014.04.01 02:00:00";"103.251";"0.10000";"2014.04.01 14:00:00";"103.601";"-35.00";"10664.70";"IST";"SL";"-35.00";"2.40";"12h 0m";""
"84";"USDJPY_M1";"Sell";"2014.04.01 15:00:00";"103.568";"0.10000";"2014.04.02 01:00:00";"103.918";"-35.00";"10629.70";"IST";"SL";"-35.00";"9.00";"10h 0m";""
"85";"USDJPY_M1";"Sell";"2014.04.02 02:00:00";"103.869";"0.10000";"2014.04.06 21:00:00";"103.293";"57.60";"10687.30";"IST";"End Of Friday";"-27.80";"65.10";"4d 19h 0m";""
"86";"USDJPY_M1";"Buy";"2014.04.07 00:00:00";"103.340";"0.10000";"2014.04.08 00:00:00";"102.990";"-35.00";"10652.30";"IST";"SL";"-35.00";"0.00";"1d 0h 0m";""
"87";"USDJPY_M1";"Buy";"2014.04.08 02:00:00";"102.874";"0.10000";"2014.04.08 09:00:00";"102.524";"-35.00";"10617.30";"IST";"SL";"-35.00";"18.10";"7h 0m";""
"88";"USDJPY_M1";"Buy";"2014.04.08 23:00:00";"101.902";"0.10000";"2014.04.10 09:00:00";"101.552";"-35.00";"10582.30";"IST";"SL";"-35.00";"25.70";"1d 10h 0m";""
"89";"USDJPY_M1";"Buy";"2014.04.10 13:00:00";"101.862";"0.10000";"2014.04.10 14:00:00";"101.512";"-35.00";"10547.30";"IST";"SL";"-35.00";"11.00";"1h 0m";""
"90";"USDJPY_M1";"Buy";"2014.04.10 15:00:00";"101.538";"0.10000";"2014.04.13 21:00:00";"101.620";"8.20";"10555.50";"IST";"End Of Friday";"-21.50";"33.20";"3d 6h 0m";""
"91";"USDJPY_M1";"Sell";"2014.04.14 01:00:00";"101.441";"0.10000";"2014.04.14 11:00:00";"101.791";"-35.00";"10520.50";"IST";"SL";"-35.00";"0.20";"10h 0m";""
"92";"USDJPY_M1";"Sell";"2014.04.14 16:00:00";"101.816";"0.10000";"2014.04.16 02:00:00";"102.166";"-35.00";"10485.50";"IST";"SL";"-35.00";"29.40";"1d 10h 0m";""
"93";"USDJPY_M1";"Buy";"2014.04.16 03:00:00";"102.251";"0.10000";"2014.04.17 02:00:00";"101.901";"-35.00";"10450.50";"IST";"SL";"-35.00";"11.40";"23h 0m";""
"94";"USDJPY_M1";"Sell";"2014.04.17 03:00:00";"101.941";"0.10000";"2014.04.17 12:00:00";"102.291";"-35.00";"10415.50";"IST";"SL";"-35.00";"0.00";"9h 0m";""
"95";"USDJPY_M1";"Buy";"2014.04.17 13:00:00";"102.200";"0.10000";"2014.04.20 21:00:00";"102.431";"23.10";"10438.60";"IST";"End Of Friday";"-8.40";"37.10";"3d 8h 0m";""
"96";"USDJPY_M1";"Buy";"2014.04.21 02:00:00";"102.660";"0.10000";"2014.04.23 09:00:00";"102.310";"-35.00";"10403.60";"IST";"SL";"-35.00";"6.30";"2d 7h 0m";""
"97";"USDJPY_M1";"Sell";"2014.04.23 12:00:00";"102.256";"0.10000";"2014.04.24 12:00:00";"102.606";"-35.00";"10368.60";"IST";"SL";"-35.00";"2.10";"1d 0h 0m";""
"98";"USDJPY_M1";"Buy";"2014.04.24 15:00:00";"102.252";"0.10000";"2014.04.27 21:00:00";"102.180";"-7.20";"10361.40";"IST";"End Of Friday";"-29.00";"24.50";"3d 6h 0m";""
"99";"USDJPY_M1";"Buy";"2014.04.27 21:00:00";"102.200";"0.10000";"2014.05.04 21:00:00";"102.139";"-6.10";"10355.30";"IST";"End Of Friday";"-16.90";"82.00";"7d 0h 0m";""
"100";"USDJPY_M1";"Buy";"2014.05.05 00:00:00";"102.229";"0.10000";"2014.05.05 01:00:00";"101.879";"-35.00";"10320.30";"IST";"SL";"-35.00";"0.00";"1h 0m";""
"101";"USDJPY_M1";"Buy";"2014.05.05 08:00:00";"102.090";"0.10000";"2014.05.06 11:00:00";"101.740";"-35.00";"10285.30";"IST";"SL";"-35.00";"9.90";"1d 3h 0m";""
"102";"USDJPY_M1";"Buy";"2014.05.06 21:00:00";"101.704";"0.10000";"2014.05.11 21:00:00";"101.849";"14.50";"10299.80";"IST";"End Of Friday";"-27.30";"30.20";"5d 0h 0m";""
"103";"USDJPY_M1";"Sell";"2014.05.12 07:00:00";"101.886";"0.10000";"2014.05.12 22:00:00";"102.236";"-35.00";"10264.80";"IST";"SL";"-35.00";"1.60";"15h 0m";""
"104";"USDJPY_M1";"Sell";"2014.05.13 02:00:00";"102.203";"0.10000";"2014.05.18 21:00:00";"101.550";"65.30";"10330.10";"IST";"End Of Friday";"-18.00";"87.00";"5d 19h 0m";""
"105";"USDJPY_M1";"Buy";"2014.05.18 21:00:00";"101.550";"0.10000";"2014.05.19 09:00:00";"101.200";"-35.00";"10295.10";"IST";"SL";"-35.00";"4.80";"12h 0m";""
"106";"USDJPY_M1";"Sell";"2014.05.19 12:00:00";"101.221";"0.10000";"2014.05.20 01:00:00";"101.571";"-35.00";"10260.10";"IST";"SL";"-35.00";"9.10";"13h 0m";""
"107";"USDJPY_M1";"Buy";"2014.05.20 04:00:00";"101.572";"0.10000";"2014.05.20 13:00:00";"101.222";"-35.00";"10225.10";"IST";"SL";"-35.00";"0.00";"9h 0m";""
"108";"USDJPY_M1";"Sell";"2014.05.20 16:00:00";"101.265";"0.10000";"2014.05.21 18:00:00";"101.615";"-35.00";"10190.10";"IST";"SL";"-35.00";"42.40";"1d 2h 0m";""
"109";"USDJPY_M1";"Sell";"2014.05.21 21:00:00";"101.364";"0.10000";"2014.05.22 04:00:00";"101.714";"-35.00";"10155.10";"IST";"SL";"-35.00";"0.00";"7h 0m";""
"110";"USDJPY_M1";"Sell";"2014.05.22 09:00:00";"101.621";"0.10000";"2014.05.23 10:00:00";"101.971";"-35.00";"10120.10";"IST";"SL";"-35.00";"12.70";"1d 1h 0m";""
"111";"USDJPY_M1";"Sell";"2014.05.23 15:00:00";"101.818";"0.10000";"2014.05.25 21:00:00";"101.936";"-11.80";"10108.30";"IST";"End Of Friday";"-20.60";"2.90";"2d 6h 0m";""
"112";"USDJPY_M1";"Sell";"2014.05.25 23:00:00";"101.955";"0.10000";"2014.06.01 21:00:00";"101.874";"8.10";"10116.40";"IST";"End Of Friday";"-20.50";"50.60";"6d 22h 0m";""
"113";"USDJPY_M1";"Sell";"2014.06.02 08:00:00";"101.999";"0.10000";"2014.06.02 15:00:00";"102.349";"-35.00";"10081.40";"IST";"SL";"-35.00";"0.80";"7h 0m";""
"114";"USDJPY_M1";"Sell";"2014.06.02 17:00:00";"102.383";"0.10000";"2014.06.04 03:00:00";"102.733";"-35.00";"10046.40";"IST";"SL";"-35.00";"9.20";"1d 10h 0m";""
"115";"USDJPY_M1";"Sell";"2014.06.04 07:00:00";"102.658";"0.10000";"2014.06.08 21:00:00";"102.517";"14.10";"10060.50";"IST";"End Of Friday";"-12.00";"52.40";"4d 14h 0m";""
"116";"USDJPY_M1";"Sell";"2014.06.09 03:00:00";"102.517";"0.10000";"2014.06.15 21:00:00";"102.090";"42.70";"10103.20";"IST";"End Of Friday";"-9.60";"89.10";"6d 18h 0m";""
"117";"USDJPY_M1";"Sell";"2014.06.16 00:00:00";"101.974";"0.10000";"2014.06.18 05:00:00";"102.324";"-35.00";"10068.20";"IST";"SL";"-35.00";"23.30";"2d 5h 0m";""
"118";"USDJPY_M1";"Sell";"2014.06.18 10:00:00";"102.225";"0.10000";"2014.06.22 21:00:00";"102.101";"12.40";"10080.60";"IST";"End Of Friday";"-14.70";"46.50";"4d 11h 0m";""
"119";"USDJPY_M1";"Sell";"2014.06.22 21:00:00";"102.081";"0.10000";"2014.06.29 21:00:00";"101.403";"67.80";"10148.40";"IST";"End Of Friday";"-10.60";"74.70";"7d 0h 0m";""
"120";"USDJPY_M1";"Buy";"2014.06.29 21:00:00";"101.403";"0.10000";"2014.07.06 21:00:00";"102.053";"65.00";"10213.40";"IST";"End Of Friday";"-16.60";"86.30";"7d 0h 0m";""
"121";"USDJPY_M1";"Buy";"2014.07.07 00:00:00";"102.139";"0.10000";"2014.07.07 17:00:00";"101.789";"-35.00";"10178.40";"IST";"SL";"-35.00";"6.20";"17h 0m";""
"122";"USDJPY_M1";"Buy";"2014.07.07 20:00:00";"101.869";"0.10000";"2014.07.08 13:00:00";"101.519";"-35.00";"10143.40";"IST";"SL";"-35.00";"2.80";"17h 0m";""
"123";"USDJPY_M1";"Buy";"2014.07.08 20:00:00";"101.556";"0.10000";"2014.07.10 12:00:00";"101.206";"-35.00";"10108.40";"IST";"SL";"-35.00";"30.10";"1d 16h 0m";""
"124";"USDJPY_M1";"Sell";"2014.07.10 15:00:00";"101.284";"0.10000";"2014.07.13 21:00:00";"101.331";"-4.70";"10103.70";"IST";"End Of Friday";"-12.20";"4.80";"3d 6h 0m";""
"125";"USDJPY_M1";"Sell";"2014.07.13 23:00:00";"101.364";"0.10000";"2014.07.15 14:00:00";"101.714";"-35.00";"10068.70";"IST";"SL";"-35.00";"0.70";"1d 15h 0m";""
"126";"USDJPY_M1";"Sell";"2014.07.15 16:00:00";"101.622";"0.10000";"2014.07.20 21:00:00";"101.345";"27.70";"10096.40";"IST";"End Of Friday";"-19.00";"51.50";"5d 5h 0m";""
"127";"USDJPY_M1";"Sell";"2014.07.21 03:00:00";"101.280";"0.10000";"2014.07.24 10:00:00";"101.630";"-35.00";"10061.40";"IST";"SL";"-35.00";"6.30";"3d 7h 0m";""
"128";"USDJPY_M1";"Buy";"2014.07.24 11:00:00";"101.652";"0.10000";"2014.07.27 21:00:00";"101.769";"11.70";"10073.10";"IST";"End Of Friday";"-4.50";"28.60";"3d 10h 0m";""
"129";"USDJPY_M1";"Sell";"2014.07.28 01:00:00";"101.755";"0.10000";"2014.07.29 12:00:00";"102.105";"-35.00";"10038.10";"IST";"SL";"-35.00";"0.00";"1d 11h 0m";""
"130";"USDJPY_M1";"Sell";"2014.07.29 20:00:00";"102.103";"0.10000";"2014.07.30 12:00:00";"102.453";"-35.00";"10003.10";"IST";"SL";"-35.00";"4.60";"16h 0m";""
"131";"USDJPY_M1";"Buy";"2014.07.30 15:00:00";"102.822";"0.10000";"2014.08.01 14:00:00";"102.472";"-35.00";"9968.10";"IST";"SL";"-35.00";"26.20";"1d 23h 0m";""
"132";"USDJPY_M1";"Sell";"2014.08.01 15:00:00";"102.472";"0.10000";"2014.08.03 21:00:00";"102.566";"-9.40";"9958.70";"IST";"End Of Friday";"-14.90";"5.10";"2d 6h 0m";""
"133";"USDJPY_M1";"Buy";"2014.08.03 21:00:00";"102.566";"0.10000";"2014.08.06 16:00:00";"102.216";"-35.00";"9923.70";"IST";"SL";"-35.00";"35.90";"2d 19h 0m";""
"134";"USDJPY_M1";"Sell";"2014.08.06 19:00:00";"102.044";"0.10000";"2014.08.07 05:00:00";"102.394";"-35.00";"9888.70";"IST";"SL";"-35.00";"0.30";"10h 0m";""
"135";"USDJPY_M1";"Buy";"2014.08.07 06:00:00";"102.380";"0.10000";"2014.08.07 15:00:00";"102.030";"-35.00";"9853.70";"IST";"SL";"-35.00";"2.10";"9h 0m";""
"136";"USDJPY_M1";"Buy";"2014.08.08 11:00:00";"101.862";"0.10000";"2014.08.10 21:00:00";"102.181";"31.90";"9885.60";"IST";"End Of Friday";"-15.20";"31.90";"2d 10h 0m";""
"137";"USDJPY_M1";"Buy";"2014.08.10 21:00:00";"102.201";"0.10000";"2014.08.17 21:00:00";"102.325";"12.40";"9898.00";"IST";"End Of Friday";"-17.70";"51.50";"7d 0h 0m";""
"138";"USDJPY_M1";"Buy";"2014.08.18 00:00:00";"102.435";"0.10000";"2014.08.24 21:00:00";"104.235";"180.00";"10078.00";"IST";"PT";"-18.80";"180.00";"6d 21h 0m";""
"139";"USDJPY_M1";"Sell";"2014.08.24 21:00:00";"104.264";"0.10000";"2014.08.31 21:00:00";"104.185";"7.90";"10085.90";"IST";"End Of Friday";"-2.80";"68.90";"7d 0h 0m";""
"140";"USDJPY_M1";"Sell";"2014.08.31 22:00:00";"104.176";"0.10000";"2014.09.02 01:00:00";"104.526";"-35.00";"10050.90";"IST";"SL";"-35.00";"5.50";"1d 3h 0m";""
"141";"USDJPY_M1";"Sell";"2014.09.02 10:00:00";"104.923";"0.10000";"2014.09.02 23:00:00";"105.273";"-35.00";"10015.90";"IST";"SL";"-35.00";"2.20";"13h 0m";""
"142";"USDJPY_M1";"Sell";"2014.09.03 01:00:00";"105.183";"0.10000";"2014.09.04 23:00:00";"105.533";"-35.00";"9980.90";"IST";"SL";"-35.00";"42.20";"1d 22h 0m";""
"143";"USDJPY_M1";"Sell";"2014.09.05 04:00:00";"105.342";"0.10000";"2014.09.07 21:00:00";"105.001";"34.10";"10015.00";"IST";"End Of Friday";"-4.90";"64.10";"2d 17h 0m";""
"144";"USDJPY_M1";"Buy";"2014.09.08 02:00:00";"105.093";"0.10000";"2014.09.11 04:00:00";"106.893";"180.00";"10195.00";"IST";"PT";"-6.20";"180.00";"3d 2h 0m";""
"145";"USDJPY_M1";"Sell";"2014.09.11 05:00:00";"106.917";"0.10000";"2014.09.12 01:00:00";"107.267";"-35.00";"10160.00";"IST";"SL";"-35.00";"24.60";"20h 0m";""
"146";"USDJPY_M1";"Sell";"2014.09.12 07:00:00";"107.149";"0.10000";"2014.09.14 21:00:00";"107.220";"-7.10";"10152.90";"IST";"End Of Friday";"-25.40";"2.90";"2d 14h 0m";""
"147";"USDJPY_M1";"Sell";"2014.09.15 04:00:00";"107.174";"0.10000";"2014.09.17 14:00:00";"107.524";"-35.00";"10117.90";"IST";"SL";"-35.00";"34.40";"2d 10h 0m";""
"148";"USDJPY_M1";"Sell";"2014.09.17 15:00:00";"107.485";"0.10000";"2014.09.17 18:00:00";"107.835";"-35.00";"10082.90";"IST";"SL";"-35.00";"8.50";"3h 0m";""
"149";"USDJPY_M1";"Buy";"2014.09.17 21:00:00";"108.390";"0.10000";"2014.09.21 21:00:00";"109.026";"63.60";"10146.50";"IST";"End Of Friday";"-1.70";"106.90";"4d 0h 0m";""
"150";"USDJPY_M1";"Sell";"2014.09.22 16:00:00";"108.881";"0.10000";"2014.09.24 23:00:00";"109.231";"-35.00";"10111.50";"IST";"SL";"-35.00";"61.00";"2d 7h 0m";""
"151";"USDJPY_M1";"Sell";"2014.09.25 03:00:00";"109.161";"0.10000";"2014.09.26 18:00:00";"109.511";"-35.00";"10076.50";"IST";"SL";"-35.00";"66.40";"1d 15h 0m";""
"152";"USDJPY_M1";"Sell";"2014.09.29 00:00:00";"109.400";"0.10000";"2014.09.29 05:00:00";"109.750";"-35.00";"10041.50";"IST";"SL";"-35.00";"11.70";"5h 0m";""
"153";"USDJPY_M1";"Sell";"2014.09.29 06:00:00";"109.661";"0.10000";"2014.10.01 02:00:00";"110.011";"-35.00";"10006.50";"IST";"SL";"-35.00";"51.20";"1d 20h 0m";""
"154";"USDJPY_M1";"Sell";"2014.10.01 08:00:00";"109.845";"0.10000";"2014.10.02 16:00:00";"108.045";"180.00";"10186.50";"IST";"PT";"-15.50";"180.00";"1d 8h 0m";""
"155";"USDJPY_M1";"Buy";"2014.10.02 21:00:00";"108.440";"0.10000";"2014.10.05 21:00:00";"109.707";"126.70";"10313.20";"IST";"End Of Friday";"-8.80";"146.20";"3d 0h 0m";""
"156";"USDJPY_M1";"Sell";"2014.10.05 22:00:00";"109.782";"0.10000";"2014.10.07 19:00:00";"107.982";"180.00";"10493.20";"IST";"PT";"-8.70";"180.00";"1d 21h 0m";""
"157";"USDJPY_M1";"Buy";"2014.10.07 20:00:00";"108.059";"0.10000";"2014.10.09 06:00:00";"107.709";"-35.00";"10458.20";"IST";"SL";"-35.00";"68.20";"1d 10h 0m";""
"158";"USDJPY_M1";"Buy";"2014.10.09 11:00:00";"107.643";"0.10000";"2014.10.12 21:00:00";"107.548";"-9.50";"10448.70";"IST";"End Of Friday";"-11.50";"54.10";"3d 10h 0m";""
"159";"USDJPY_M1";"Buy";"2014.10.13 07:00:00";"107.381";"0.10000";"2014.10.13 20:00:00";"107.031";"-35.00";"10413.70";"IST";"SL";"-35.00";"19.20";"13h 0m";""
"160";"USDJPY_M1";"Buy";"2014.10.14 02:00:00";"107.231";"0.10000";"2014.10.14 09:00:00";"106.881";"-35.00";"10378.70";"IST";"SL";"-35.00";"8.00";"7h 0m";""
"161";"USDJPY_M1";"Sell";"2014.10.14 11:00:00";"106.869";"0.10000";"2014.10.14 22:00:00";"107.219";"-35.00";"10343.70";"IST";"SL";"-35.00";"17.70";"11h 0m";""
"162";"USDJPY_M1";"Buy";"2014.10.15 01:00:00";"107.264";"0.10000";"2014.10.15 11:00:00";"106.914";"-35.00";"10308.70";"IST";"SL";"-35.00";"23.00";"10h 0m";""
"163";"USDJPY_M1";"Sell";"2014.10.15 13:00:00";"106.288";"0.10000";"2014.10.17 10:00:00";"106.638";"-35.00";"10273.70";"IST";"SL";"-35.00";"107.30";"1d 21h 0m";""
"164";"USDJPY_M1";"Sell";"2014.10.17 14:00:00";"106.668";"0.10000";"2014.10.19 21:00:00";"107.018";"-35.00";"10238.70";"IST";"SL";"-35.00";"6.70";"2d 7h 0m";""
"165";"USDJPY_M1";"Sell";"2014.10.19 21:00:00";"107.203";"0.10000";"2014.10.23 08:00:00";"107.553";"-35.00";"10203.70";"IST";"SL";"-35.00";"93.20";"3d 11h 0m";""
"166";"USDJPY_M1";"Sell";"2014.10.23 10:00:00";"107.537";"0.10000";"2014.10.23 12:00:00";"107.887";"-35.00";"10168.70";"IST";"SL";"-35.00";"8.80";"2h 0m";""
"167";"USDJPY_M1";"Sell";"2014.10.23 21:00:00";"108.262";"0.10000";"2014.10.26 21:00:00";"108.359";"-9.70";"10159.00";"IST";"End Of Friday";"-9.70";"45.90";"3d 0h 0m";""
"168";"USDJPY_M1";"Buy";"2014.10.27 14:00:00";"107.854";"0.10000";"2014.10.31 04:00:00";"109.654";"180.00";"10339.00";"IST";"PT";"-24.80";"180.00";"3d 14h 0m";""
"169";"USDJPY_M1";"Buy";"2014.10.31 07:00:00";"111.154";"0.10000";"2014.11.02 22:00:00";"112.699";"154.50";"10493.50";"IST";"End Of Friday";"-13.30";"154.50";"2d 15h 0m";""
"170";"USDJPY_M1";"Sell";"2014.11.02 22:00:00";"112.699";"0.10000";"2014.11.03 10:00:00";"113.049";"-35.00";"10458.50";"IST";"SL";"-35.00";"10.90";"12h 0m";""
"171";"USDJPY_M1";"Sell";"2014.11.03 11:00:00";"113.281";"0.10000";"2014.11.03 11:00:00";"113.631";"-35.00";"10423.50";"IST";"SL";"-35.00";"2.10";"0s";""
"172";"USDJPY_M1";"Sell";"2014.11.03 12:00:00";"113.621";"0.10000";"2014.11.03 15:00:00";"113.971";"-35.00";"10388.50";"IST";"SL";"-35.00";"12.80";"3h 0m";""
"173";"USDJPY_M1";"Sell";"2014.11.03 19:00:00";"113.817";"0.10000";"2014.11.05 05:00:00";"114.167";"-35.00";"10353.50";"IST";"SL";"-35.00";"63.20";"1d 10h 0m";""
"174";"USDJPY_M1";"Buy";"2014.11.05 07:00:00";"114.210";"0.10000";"2014.11.07 21:00:00";"114.610";"40.00";"10393.50";"IST";"End Of Friday (Time)";"-15.10";"136.20";"2d 14h 0m";""
