"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"269";"USDJPY_M1";"Sell";"2015.05.17 22:00:00";"119.368";"0.10000";"2015.05.18 00:00:00";"119.718";"-35.00";"11119.40";"IST";"SL";"-35.00";"1.50";"2h 0m";""
"270";"USDJPY_M1";"Buy";"2015.05.18 03:00:00";"119.658";"0.10000";"2015.05.20 18:00:00";"121.458";"180.00";"11299.40";"IST";"PT";"-12.40";"180.00";"2d 15h 0m";""
"271";"USDJPY_M1";"Sell";"2015.05.20 21:00:00";"121.306";"0.10000";"2015.05.24 21:00:00";"121.503";"-19.70";"11279.70";"IST";"End Of Friday";"-28.50";"64.70";"4d 0h 0m";""
"272";"USDJPY_M1";"Sell";"2015.05.24 22:00:00";"121.569";"0.10000";"2015.05.26 06:00:00";"121.919";"-35.00";"11244.70";"IST";"SL";"-35.00";"10.30";"1d 8h 0m";""
"273";"USDJPY_M1";"Buy";"2015.05.26 09:00:00";"122.798";"0.10000";"2015.05.31 21:00:00";"124.067";"126.90";"11371.60";"IST";"End Of Friday";"-31.30";"166.20";"5d 12h 0m";""
"274";"USDJPY_M1";"Sell";"2015.06.01 04:00:00";"124.106";"0.10000";"2015.06.01 14:00:00";"124.456";"-35.00";"11336.60";"IST";"SL";"-35.00";"22.70";"10h 0m";""
"275";"USDJPY_M1";"Sell";"2015.06.01 15:00:00";"124.529";"0.10000";"2015.06.01 16:00:00";"124.879";"-35.00";"11301.60";"IST";"SL";"-35.00";"3.00";"1h 0m";""
"276";"USDJPY_M1";"Buy";"2015.06.01 17:00:00";"124.890";"0.10000";"2015.06.02 05:00:00";"124.540";"-35.00";"11266.60";"IST";"SL";"-35.00";"16.30";"12h 0m";""
"277";"USDJPY_M1";"Sell";"2015.06.02 06:00:00";"124.634";"0.10000";"2015.06.05 12:00:00";"124.984";"-35.00";"11231.60";"IST";"SL";"-35.00";"86.10";"3d 6h 0m";""
"278";"USDJPY_M1";"Sell";"2015.06.05 14:00:00";"125.683";"0.10000";"2015.06.07 21:00:00";"125.607";"7.60";"11239.20";"IST";"End Of Friday";"-3.20";"29.40";"2d 7h 0m";""
"279";"USDJPY_M1";"Sell";"2015.06.07 21:00:00";"125.587";"0.10000";"2015.06.10 04:00:00";"123.787";"180.00";"11419.20";"IST";"PT";"-11.10";"180.00";"2d 7h 0m";""
"280";"USDJPY_M1";"Sell";"2015.06.10 07:00:00";"123.010";"0.10000";"2015.06.10 10:00:00";"123.360";"-35.00";"11384.20";"IST";"SL";"-35.00";"53.40";"3h 0m";""
