,Entry Date,Entry Type,EWA Entry,EWA Qty,EWC Entry,EWC Qty,Exit Date,EWA Exit,EWC Exit,EWA_profit
11,2007-06-29,short-spread,-0.3160754902468387,-2139.4768362760756,-0.24118168903476078,-2598.2519133624196,2007-10-03,0.04425658743495703,0.05269035805307665,770.9221335674334
12,2007-10-04,long-spread,0.04031875235546834,-2560.9590927684253,0.09513817965193946,-10653.018401418067,2007-10-19,0.01472139832505384,0.16153152996504613,65.55377655500251
13,2007-10-24,long-spread,0.11612625381871554,-2560.9590927684253,0.18982929287493708,-10653.018401418067,2007-11-01,0.16732136931204114,0.332411757834929,-131.10859652796188
14,2007-11-02,short-spread,0.20276310732492905,7534.99013814618,0.41730857826668105,13534.860360382345,2007-11-16,-0.003984846174379609,0.02765588786440121,1557.8437906991958
15,2007-12-06,long-spread,0.03933459915996861,3668.8211706275206,-0.01479222804296821,6156.865938496182,2007-12-20,-0.24142672680387764,-0.08445093123683661,-1030.0630965896135
16,2007-12-31,short-spread,-0.15185737790349754,18912.143422399462,0.04787517657654284,-173693.43981914694,2008-07-24,-0.4545412204948149,-0.11224395505790317,5724.4002427299765
17,2008-07-30,short-spread,-0.5276380735582857,18912.143422399462,-0.004993520624123604,-173693.43981914694,2008-09-02,-0.7263398463987965,-0.25155812405206734,3757.8764262447767
18,2008-09-25,long-spread,-0.7479604555462984,542.3443268297101,-0.3223222499967371,-514529.36009918415,2009-01-26,-1.8348834054032512,-1.6126437314544961,-589.4864955559318
19,2009-01-30,short-spread,-1.8403893463039693,382.5890977146455,-1.6070016902286608,-7971.255386180775,2009-02-24,-1.8260727795227367,-1.811216182481934,-5.477362367203227
20,2009-03-27,long-spread,-1.621231610107443,475.7949795396165,-1.5663853504663892,-1598.824062846386,2009-05-18,-1.3954670504044278,-1.1342645311782908,107.41764406466666
21,2009-06-09,short-spread,-1.2445897040129996,540.112841317962,-0.8871759114543404,-1640.2815377502013,2009-08-06,-0.9783062880990334,-0.7522069132516648,-143.82309236514493
22,2009-08-13,long-spread,-0.8965667732017649,617.2559236412698,-0.787337342450854,-2896.058085211694,2009-12-16,-0.6071654337153489,-0.5289636101954597,178.63469110770836
23,2009-12-22,short-spread,-0.6448816636404195,856.8579499790083,-0.5239647802108055,-3263.293677109916,2010-01-19,-0.39383663053120826,-0.43131087047051475,-215.10993242237106
24,2010-02-02,short-spread,-0.647153914673871,856.8579499790083,-0.6086117327204515,-3263.293677109916,2010-08-09,-0.5634509825755621,-0.3843501222313995,-71.72152280498904
25,2010-09-22,long-spread,-0.4166326824313564,911.0594293389591,-0.32562203697277137,-4221.596188899857,2010-11-23,-0.39942823411433326,-0.1459837765633926,15.674274865798793
26,2010-11-24,short-spread,-0.3294604626246309,1415.1450451667122,-0.08034503326121635,-7890.47631806088,2011-04-11,0.12959434242581103,0.4377176959655817,-649.6291328271038
27,2011-04-28,long-spread,0.21545340729604484,1742.0038712971332,0.4318995110985444,-31978.49160157905,2011-07-15,-0.14584265567266963,0.25308031126304215,-629.3791403759134
28,2011-07-18,short-spread,-0.17575349754442368,-2663.7842888362957,0.2109044307242806,5948.86751512476,2011-09-27,-0.5777573635443801,-0.3842418167009696,-1070.8515823021355
29,2011-12-06,long-spread,-0.31932680156958254,6846.524015280079,-0.2788022625083191,12182.356542007923,2011-12-30,-0.47306249064079897,-0.33094960955930125,-1052.5550872317144
30,2012-02-08,long-spread,-0.16947231446082955,6846.524015280079,-0.10403009894711643,12182.356542007923,2012-02-16,-0.2348809163137519,-0.10759388065357373,-447.821563391926
31,2012-02-17,short-spread,-0.25709433974378426,13311.056948245547,-0.11947511506514208,-24697.784558279654,2012-06-05,-0.5532800414470762,-0.49965313171434733,3942.5447426285873
32,2012-06-11,long-spread,-0.5100869001866692,10516.284392046293,-0.5091575306265889,-21505.0052052389,2012-09-05,-0.22224867547339938,-0.19461443126897396,3026.9886299864734
33,2012-10-26,long-spread,-0.03324807409281268,10516.284392046293,-0.11435620720979384,-21505.0052052389,2012-11-02,-0.06978886126523716,-0.09039861184677926,-384.27330981445306
34,2012-11-06,long-spread,-0.004268826624498969,10516.284392046293,-0.0796177969414,-21505.0052052389,2013-05-21,0.3521879568660337,-0.05956979578010141,3748.600908660513
35,2013-05-22,short-spread,0.28430481374510574,14280.709319306232,-0.08141984792733098,-32270.586101037847,2013-09-13,0.23711863030192284,-0.04400117008930244,673.8521696395555
36,2013-09-26,long-spread,0.32934077218756425,12970.72317533002,-0.003474888730051454,-31556.346969175935,2013-12-09,0.1555881282754022,0.0407349578978443,-2253.6974451663455
37,2013-12-10,short-spread,0.15425154597035692,11197.031609561434,0.05178800817183145,-739394.3147452528,2014-02-21,0.3102937104047379,0.11808276513522607,-1747.2090475961468
38,2014-04-11,long-spread,0.48580218466093067,9296.124601634454,0.18157805958381174,49612.121841942135,2014-05-22,0.4940290616319638,0.33720368893944114,76.47807340504096
39,2014-05-29,long-spread,0.5475045768086726,9296.124601634454,0.32475385049311556,49612.121841942135,2014-06-03,0.4995143253334802,0.33720368893944114,-446.12335737715966
40,2014-06-04,short-spread,0.4803177358244074,2758.7343169700034,0.33969383321381025,7911.570463201831,2014-10-15,0.20073103774821413,0.058417012974560346,771.3054185511256
41,2014-10-16,long-spread,0.21743393666194183,2215.8172142786448,0.11235081266062352,7563.613819728127,2014-11-17,0.3190445455663787,0.31303595730271194,225.1505363637861
42,2014-11-19,short-spread,0.2341380578731593,4894.803100666813,0.32683284578376004,22868.663879926557,2015-01-08,0.08467653940736203,0.055297931421580376,731.5847040167547
43,2015-01-09,long-spread,0.11485913875433791,5507.207394815706,0.024768427106117905,7861.24468368859,2015-04-13,0.20828178049116539,0.09727544802689139,514.4978634162746
44,2015-04-15,short-spread,0.23702695799019133,11226.332163997284,0.20158456324567928,103733.39253091956,2015-07-16,-0.005839275182583722,-0.14944101859045955,2726.497005016389
45,2015-07-17,long-spread,-0.02203084631309796,7610.71534832665,-0.1712322090363685,12745.583937600772,2015-08-11,-0.18394431673950914,-0.24045121532137181,-1232.2773344751208
46,2015-08-12,short-spread,-0.1824726705618461,-81882.6785637658,-0.2263517776955357,-15004.846260125589,2015-09-14,-0.40473504238234564,-0.5109189670386086,-18199.438348598167
47,2015-09-21,short-spread,-0.40326319248843434,-81882.6785637658,-0.4199084759991897,-15004.846260125589,2015-10-19,-0.2634291002006793,-0.3673535116665622,11449.990031054207
48,2015-10-23,long-spread,-0.20602328744566864,-1417.6036477328635,-0.3596617588464894,-6118.745198602171,2016-02-25,-0.455206354045489,-0.6990871708948658,353.2428241651663
49,2016-02-26,short-spread,-0.5006120574785978,-2774.7706570246896,-0.680897727952766,-7143.692394800942,2016-07-25,0.009312120784150422,-0.2448205194104019,1414.922647150901
50,2016-07-26,long-spread,0.03540654246039795,-1847.5587693424914,-0.22255784673691473,-3773.4198043184397,2016-09-02,0.003171094479381336,-0.10469935649113195,59.55688460101096
51,2016-09-27,long-spread,0.06457137543090588,-1847.5587693424914,-0.19374828133404096,-3773.4198043184397,2016-11-16,-0.0244583291277481,-0.17541403860669239,164.48761138931235
